"Part","File","Num","Title"
"11","11-cosmetics-and-the-animation-question-answered.md","11.6","Acceptance criteria"
"12","12-the-competitive-layer-war-events-and-the-finale.md","12.1","Three layers of competition"
"12","12-the-competitive-layer-war-events-and-the-finale.md","12.2","War Event format"
"12","12-the-competitive-layer-war-events-and-the-finale.md","12.3","Hard mechanical requirements"
"12","12-the-competitive-layer-war-events-and-the-finale.md","12.4","If the arena costs too much"
"12","12-the-competitive-layer-war-events-and-the-finale.md","12.5","The Season Finale"
"12","12-the-competitive-layer-war-events-and-the-finale.md","12.6","Acceptance criteria"
"13","13-voice-chat.md","13.1","The core problem"
"13","13-voice-chat.md","13.2","The decision"
"13","13-voice-chat.md","13.3","Implementation requirements"
"13","13-voice-chat.md","13.4","Known limitations to publish honestly"
"13","13-voice-chat.md","13.5","Acceptance criteria"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.1","Anti-cheat"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.2","Anti-grief, in three layers"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.3","Flooding - the owner said one word, and it is three different problems"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.4","The published punishment ladder"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.5","Rules acceptance - the ban-proofing step"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.6","Rules in three places, never drifting apart"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.7","Reporting and appeals"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.8","The AFK and auto-farm policy - write it down before it becomes an argument"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.9","Plugins versus datapacks - the division of labour"
"14","14-rules-enforcement-and-keeping-the-server-clean.md","14.10","Acceptance criteria"
"15","15-homes-teleports-and-quality-of-life.md","15.1","Homes"
"15","15-homes-teleports-and-quality-of-life.md","15.2","Teleport commands for everyone"
"15","15-homes-teleports-and-quality-of-life.md","15.3","Why there is no plain teleport command for players"
"15","15-homes-teleports-and-quality-of-life.md","15.4","Teleport guards - all mandatory"
"15","15-homes-teleports-and-quality-of-life.md","15.5","Other quality-of-life features"
"15","15-homes-teleports-and-quality-of-life.md","15.6","Explicitly excluded, and why"
"16","16-the-in-game-settings-menu.md","16.1","What the owner asked for, and the honest technical answer"
"16","16-the-in-game-settings-menu.md","16.2","The design: one command, three aliases, one GUI"
"16","16-the-in-game-settings-menu.md","16.3","Rules for the menu"
"17","17-permissions-the-owner-and-admin-split.md","17.1","The staff ladder"
"17","17-permissions-the-owner-and-admin-split.md","17.2","What each tier gets"
"17","17-permissions-the-owner-and-admin-split.md","17.3","The never-grant-to-Admin list"
"17","17-permissions-the-owner-and-admin-split.md","17.4","Staff conduct rules that must be enforced technically"
"17","17-permissions-the-owner-and-admin-split.md","17.5","Acceptance criteria"
"18","18-web-presence-and-the-store.md","18.1","The rule that comes before everything else in this section"
"18","18-web-presence-and-the-store.md","18.2","What the site must contain"
"18","18-web-presence-and-the-store.md","18.3","The store to whitelist pipeline - the most important integration in the project"
"18","18-web-presence-and-the-store.md","18.4","Leaderboards and stats on the web"
"18","18-web-presence-and-the-store.md","18.5","The live map, and its one real risk"
"18","18-web-presence-and-the-store.md","18.6","Discord"
"18","18-web-presence-and-the-store.md","18.7","Acceptance criteria"
"19","19-the-complete-command-reference.md","19.1","Essentials - all players"
"19","19-the-complete-command-reference.md","19.2","Settings and the menu - all players"
"19","19-the-complete-command-reference.md","19.3","Economy - all players"
"19","19-the-complete-command-reference.md","19.4","Auction house, orders, and trading - all players"
"19","19-the-complete-command-reference.md","19.5","Homes and teleports - all players"
"19","19-the-complete-command-reference.md","19.6","Claims - all players"
"19","19-the-complete-command-reference.md","19.7","Stats, rank, and season - all players"
"19","19-the-complete-command-reference.md","19.8","Cosmetics - all players, contents rank-gated"
"19","19-the-complete-command-reference.md","19.9","War events and the Finale - all players"
"19","19-the-complete-command-reference.md","19.10","Voice - all players"
"19","19-the-complete-command-reference.md","19.11","Quality of life - all players"
"19","19-the-complete-command-reference.md","19.12","Helper"
"19","19-the-complete-command-reference.md","19.13","Mod and Senior Mod"
"19","19-the-complete-command-reference.md","19.14","Admin - server management only"
"19","19-the-complete-command-reference.md","19.15","Owner only"
"19","19-the-complete-command-reference.md","19.16","Console and automation only"
"19","19-the-complete-command-reference.md","19.17","Command implementation standards"
"20","20-build-phases.md","","Phase 0 - Foundation"
"20","20-build-phases.md","","Phase 1 - Access, permissions, and the paywall"
"20","20-build-phases.md","","Phase 2 - The world"
"20","20-build-phases.md","","Phase 3 - Economy"
"20","20-build-phases.md","","Phase 4 - Combat, rank, and seasons"
"20","20-build-phases.md","","Phase 5 - Shop gating, homes, and quality of life"
"20","20-build-phases.md","","Phase 6 - Load testing and tuning"
"20","20-build-phases.md","","Phase 7 - Voice, cosmetics, and events"
"20","20-build-phases.md","","Phase 8 - Web, launch preparation"
"20","20-build-phases.md","","Phase 9 - Soft launch"
"22","22-the-migration-runbook.md","22.1","The portability contract, restated"
"22","22-the-migration-runbook.md","22.2","How to choose the next host - in priority order"
"22","22-the-migration-runbook.md","22.3","Sizing guide"
"22","22-the-migration-runbook.md","22.4","Notes on specific providers"
"22","22-the-migration-runbook.md","22.5","The evaluation protocol - never migrate on a promise"
"22","22-the-migration-runbook.md","22.6","The migration procedure"
"22","22-the-migration-runbook.md","22.7","Migration acceptance criteria"
"22","22-the-migration-runbook.md","22.8","What a Pelican backup contains, and what it does not"
"22","22-the-migration-runbook.md","22.9","The three irreplaceable things"
"22","22-the-migration-runbook.md","22.10","Two shapes of migration - choose the easy one"
"22","22-the-migration-runbook.md","22.11","The node-transfer runbook (the recommended path)"
"22","22-the-migration-runbook.md","22.12","The full-relocation runbook (only if the Panel moves too)"
"22","22-the-migration-runbook.md","22.13","Sizing the new box - do not give Minecraft 50 GB"
"22","22-the-migration-runbook.md","22.14","Realistic timings"
"22","22-the-migration-runbook.md","22.15","Pelican migration acceptance criteria"
"24","24-open-questions-for-the-owner.md","24.1","The price, and whether it recurs"
"24","24-open-questions-for-the-owner.md","24.2","Shop tier behaviour at the monthly reset"
"24","24-open-questions-for-the-owner.md","24.3","Which voice chat route"
"24","24-open-questions-for-the-owner.md","24.4","Lifesteal hearts"
"24","24-open-questions-for-the-owner.md","24.5","Team, clan and guild structures"
"24","24-open-questions-for-the-owner.md","24.6","Bedrock support at launch, or after"
"24","24-open-questions-for-the-owner.md","24.7","Additional languages"
"26","26-the-roadmap-after-launch.md","26.1","Tier 0 - launch blockers"
"26","26-the-roadmap-after-launch.md","26.2","Tier 1 - the retention engine, first month after launch"
"26","26-the-roadmap-after-launch.md","26.3","Tier 2 - rhythm, months two and three"
"26","26-the-roadmap-after-launch.md","26.4","Tier 3 - scale, after migration"
"26","26-the-roadmap-after-launch.md","26.5","The three things that actually decide success"
"G","G-what-the-owner-did-not-ask-for-and-why-it-is-here.md","","The standing invitation to the builder"
"27","27-building-this-with-ai-coding-agents-without-losing.md","27.1","The honest framing, before anything else"
"27","27-building-this-with-ai-coding-agents-without-losing.md","27.2","Reference material worth reading"
"27","27-building-this-with-ai-coding-agents-without-losing.md","27.3","Split this document before building - the 180-kilobyte problem"
"27","27-building-this-with-ai-coding-agents-without-losing.md","27.4","The root instruction file"
"27","27-building-this-with-ai-coding-agents-without-losing.md","27.5","The five living documents"
"27","27-building-this-with-ai-coding-agents-without-losing.md","27.6","The session handoff protocol"
"27","27-building-this-with-ai-coding-agents-without-losing.md","27.7","Dividing the work into sub-agents"
"27","27-building-this-with-ai-coding-agents-without-losing.md","27.8","Six rules the agent must never break"
"27","27-building-this-with-ai-coding-agents-without-losing.md","27.9","Acceptance criteria for this section"
"28","28-the-build-procedure-running-this-project-with-an.md","28.1","What this project does not need"
"28","28-the-build-procedure-running-this-project-with-an.md","28.2","The three things this project needs that do not exist yet"
"28","28-the-build-procedure-running-this-project-with-an.md","28.3","Step 0 - one hour of setup, done by the owner, before the agent runs at all"
"28","28-the-build-procedure-running-this-project-with-an.md","28.4","Step 1 - the command deny list"
"28","28-the-build-procedure-running-this-project-with-an.md","28.5","Step 2 - session one is calibration, not construction"
"28","28-the-build-procedure-running-this-project-with-an.md","28.6","Step 3 - the per-session loop, one phase at a time"
"28","28-the-build-procedure-running-this-project-with-an.md","28.7","Step 4 - the four stop conditions"
"28","28-the-build-procedure-running-this-project-with-an.md","28.8","Where to spend the deep reasoning"
"28","28-the-build-procedure-running-this-project-with-an.md","28.9","The adversarial verification pass"
"28","28-the-build-procedure-running-this-project-with-an.md","28.10","Secrets discipline"
"28","28-the-build-procedure-running-this-project-with-an.md","28.11","Acceptance criteria for this section"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.1","Verdict on the local-first plan"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.2","Make local resemble the VPS, or the numbers will lie"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.3","What Pelican changes"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.4","The memory arithmetic that breaks Minecraft under Pelican"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.5","Where the Panel should live"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.6","The one-way flow rule"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.7","What goes in git, and what must never"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.8","The deploy procedure"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.9","Three migrations, and why the first is a rehearsal"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.10","The portfolio standard: what ""human written"" has to mean"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.11","What must not be published"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.12","Licensing for a public repository"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.13","Access model: what the API can do, and what still needs SSH"
"29","29-pelican-and-the-repository-as-the-only-source-of.md","29.14","Acceptance criteria"
"30","30-the-build-environment-decision-build-on-the-vps.md","30.1","The decision, and why it is right here"
"30","30-the-build-environment-decision-build-on-the-vps.md","30.2","Two servers on one panel: the rule that makes this safe"
"30","30-the-build-environment-decision-build-on-the-vps.md","30.3","Keeping the loop fast without a local server"
"30","30-the-build-environment-decision-build-on-the-vps.md","30.4","What must never be done directly on the VPS"
"30","30-the-build-environment-decision-build-on-the-vps.md","30.5","Migration becomes three rehearsed moves"
"30","30-the-build-environment-decision-build-on-the-vps.md","30.6","Acceptance criteria"
"31","31-the-completeness-pass.md","31.1","The season boundary: an exact instant (amends Section 9)"
"31","31-the-completeness-pass.md","31.2","The Champion tiebreak chain (amends Section 9)"
"31","31-the-completeness-pass.md","31.3","Combat tagging, in full (amends Sections 14 and 9)"
"31","31-the-completeness-pass.md","31.4","Totem of Undying and Mending (amends Sections 7, 8, and 12)"
"31","31-the-completeness-pass.md","31.5","Farms and production rate, not just prices (amends Section 8)"
"31","31-the-completeness-pass.md","31.6","New player protection (amends Sections 7 and 14)"
"31","31-the-completeness-pass.md","31.7","Server list presentation (amends Sections 18 and 16)"
"31","31-the-completeness-pass.md","31.8","Scheduled restarts (amends Sections 5 and 6)"
"31","31-the-completeness-pass.md","31.9","Staff account security (amends Sections 17 and 29.13)"
"31","31-the-completeness-pass.md","31.10","Market abuse on the order book (amends Sections 8 and 14)"
"31","31-the-completeness-pass.md","31.11","Illegal items and crash vectors (amends Sections 14 and 6)"
"31","31-the-completeness-pass.md","31.12","Resource world reset (amends Section 7)"
"31","31-the-completeness-pass.md","31.13","Player data, deletion, and retention (amends Sections 3 and 18)"
"31","31-the-completeness-pass.md","31.14","Language (amends Sections 18 and 13)"
"31","31-the-completeness-pass.md","31.15","Acceptance criteria"
"32","32-the-owner-action-protocol-never-stall-never-guess.md","32.1","The rule"
"32","32-the-owner-action-protocol-never-stall-never-guess.md","32.2","The blocked-state format"
"32","32-the-owner-action-protocol-never-stall-never-guess.md","32.3","Front-load everything: the complete owner-action inventory"
"32","32-the-owner-action-protocol-never-stall-never-guess.md","32.4","The decisions only the owner can make"
"32","32-the-owner-action-protocol-never-stall-never-guess.md","32.5","Never lose context"
"32","32-the-owner-action-protocol-never-stall-never-guess.md","32.6","Model and effort policy"
"32","32-the-owner-action-protocol-never-stall-never-guess.md","32.7","Acceptance criteria"
"33","33-day-zero-the-bootstrap-procedure.md","33.1","The access decision: root SSH instead of Pelican API keys"
"33","33-day-zero-the-bootstrap-procedure.md","33.2","Before anything else: take a VPS snapshot"
"33","33-day-zero-the-bootstrap-procedure.md","33.3","The repository skeleton"
"33","33-day-zero-the-bootstrap-procedure.md","33.4","What not to do with the specification file"
"33","33-day-zero-the-bootstrap-procedure.md","33.5","The first session must produce a plan, not code"
"33","33-day-zero-the-bootstrap-procedure.md","33.6","Pre-flight checklist"
"33","33-day-zero-the-bootstrap-procedure.md","33.7","Day Zero acceptance criteria"
